Price,Square,District,Parking,Drying yard,AC,Water heater,Washing machine,TV,Fridge,Kitchen,Elevator,Bed
2800000,30,Binh Tan,1,0,1,1,0,0,0,0,1,0
1850000,9,Thu Duc,1,0,1,0,1,0,1,1,0,0
400000,40,Ben Tre,0,0,0,0,0,0,0,0,0,0
4800000,25,7,1,0,1,1,1,0,1,1,1,1
6500000,45,Dong Da,0,0,1,0,1,0,0,0,1,1
4000000,22,9,0,0,1,1,1,0,0,1,0,1
1200000,35,12,0,0,1,0,1,0,1,1,0,1
2100000,21,Binh Tan,1,0,0,0,0,0,0,0,0,0
2300000,21,Binh Tan,1,0,0,0,0,0,0,0,0,0
3000000,15,Thu Duc,1,1,1,0,0,0,0,0,0,0
3600000,20,Thu Duc,1,1,1,0,0,0,0,0,0,0
2500000,20,Binh Thanh,1,0,0,0,0,0,0,0,0,0
2000000,18,10,1,0,0,0,0,0,0,0,0,0
2300000,20,6,1,0,0,0,0,1,0,0,0,0
3000000,25,Thu Duc,1,0,0,0,0,0,0,0,0,0
1500000,30,Binh Thanh,1,0,1,0,1,0,1,1,1,1
1500000,30,Binh Thanh,1,0,1,0,1,0,1,1,1,1
2300000,10,5,1,0,0,0,0,0,0,0,0,0
4500000,28,Tay Ho,1,1,0,0,1,0,0,0,0,0
4000000,25,Tan Binh,0,0,0,0,0,0,0,0,0,0
5000000,20,Tan Binh,1,1,1,0,1,0,1,0,1,1
3600000,35,Tan Phu,1,0,0,0,0,0,0,0,1,0
4000000,30,6,1,0,0,0,0,0,0,0,1,0
3500000,30,Binh Tan,1,0,1,0,0,0,1,0,0,0
4000000,30,Tan Binh,1,0,0,0,0,0,0,0,1,0
4400000,30,Tan Binh,1,0,0,0,0,0,0,0,0,0
3500000,25,Go Vap,0,0,0,0,0,0,0,0,0,0
3000000,18,Tan Binh,1,0,0,0,0,0,0,0,0,0
4000000,25,Go Vap,1,1,0,0,1,0,0,0,1,0
2000000,25,Go Vap,1,0,0,0,0,0,0,0,0,0
4000000,30,Binh Tan,1,0,1,0,0,0,0,1,0,1
4000000,35,9,1,0,0,0,0,0,0,0,0,0
2000000,10,Tan Phu,1,1,1,0,1,0,0,0,0,0
2900000,35,12,1,0,0,0,1,0,0,0,0,0
3100000,28,Binh Tan,0,0,0,0,0,0,0,0,0,0
3000000,20,Tan Phu,0,0,1,0,0,0,0,0,0,0
3000000,20,Go Vap,1,0,1,1,0,0,0,1,0,0
2500000,20,Ba Dinh,1,0,0,1,0,1,0,1,0,0
3000000,15,5,1,0,1,1,0,1,1,0,0,1
3600000,21,7,1,1,0,1,1,0,0,1,1,0
5300000,25,Binh Thanh,0,0,0,0,0,0,0,0,0,0
2900000,32,Ba Dinh,1,1,0,0,1,0,0,0,0,0
4500000,20,10,1,1,1,1,1,0,0,0,0,1
750000,24,Ben Tre,0,0,0,0,0,0,0,0,0,0
2200000,15,Thu Duc,1,0,1,0,1,0,0,1,1,0
2300000,18,12,1,0,1,0,0,0,0,1,1,1
6000000,32,Thu Duc,0,0,1,1,1,0,1,1,0,1
3000000,15,Binh Thanh,0,0,0,0,0,0,0,0,0,0
5000000,50,8,0,0,0,0,0,0,0,0,0,0
2000000,15,8,1,0,1,0,0,0,0,0,0,0
1200000,100,Go Vap,1,0,1,1,1,0,1,0,0,1
3500000,28,Dong Da,0,0,1,0,0,0,0,1,0,1
3800000,25,8,1,1,0,0,1,0,0,0,1,0
5900000,50,Binh Thanh,1,0,0,0,1,1,0,1,0,0
5500000,30,1,1,0,1,0,0,1,1,0,1,0
5500000,25,Binh Thanh,1,0,1,0,1,0,1,1,1,1
2800000,30,12,1,0,0,0,0,0,0,0,1,0
4500000,50,4,1,0,1,0,0,0,1,1,0,1
2900000,25,3,1,0,1,1,0,0,0,1,0,1
4000000,25,9,1,0,1,1,1,0,1,1,0,1
5500000,30,Binh Thanh,1,0,0,0,0,0,0,0,0,0
3500000,25,Hai Ba Trung,1,0,1,1,0,0,0,0,0,1
3000000,30,Tan Phu,1,0,1,0,1,0,0,1,0,1
2400000,18,Tan Phu,1,1,0,0,0,0,0,0,0,0
1200000,28,Vinh,0,0,0,0,0,0,0,0,0,0
4000000,20,Go Vap,0,0,1,1,0,1,0,0,0,1
2500000,20,Go Vap,1,0,1,0,0,1,0,1,0,1
2000000,24,Cam Le,0,0,0,0,0,0,0,0,0,0
1400000,100,9,1,0,1,1,1,0,1,1,0,1
2700000,19,9,1,0,1,0,0,0,0,0,0,0
3300000,20,Thu Duc,1,0,1,0,0,0,0,0,0,0
5000000,25,Binh Thanh,1,0,1,0,1,1,1,0,1,1
1500000,30,9,1,0,1,1,1,0,0,1,0,1
1300000,25,9,1,0,1,0,1,0,1,1,0,1
1700000,50,Thu Duc,1,0,1,0,1,0,0,1,0,1
999000,35,9,1,0,1,1,1,0,1,1,0,1
7000000,38,7,1,0,0,0,0,0,0,0,1,0
1500000,37,9,1,0,1,1,1,0,1,1,0,1
1499000,50,Thu Duc,1,0,1,0,1,0,0,1,0,1
3500000,25,Tan Binh,1,0,0,0,0,0,0,0,1,0
2500000,15,10,1,1,0,0,1,1,0,0,0,0
3800000,22,Tan Binh,1,0,1,0,0,0,0,0,1,0
1500000,100,Thu Duc,1,0,0,0,0,0,0,1,0,1
1600000,30,9,0,0,0,0,0,1,0,0,0,1
1500000,50,Thu Duc,0,1,1,0,1,0,0,1,0,1
1500000,60,9,1,0,1,0,1,0,1,1,0,1
5800000,30,7,1,1,0,0,1,0,1,1,1,1
6500000,25,7,1,0,0,0,1,0,0,0,1,0
5500000,30,7,1,0,1,1,1,0,1,1,0,1
5200000,28,7,1,0,0,0,0,0,0,1,0,0
5400000,30,7,1,0,0,0,0,0,0,0,1,0
1500000,12,Tan Binh,1,0,0,0,0,0,0,0,0,0
2300000,17,3,1,1,1,0,0,0,0,0,0,0
1200000,15,Cam Le,0,0,0,0,0,0,0,0,0,0
5200000,27,Binh Thanh,1,0,1,0,1,0,1,1,1,1
7500000,55,Phu Nhuan,1,0,0,0,0,0,0,1,0,0
5000000,18,7,1,0,1,0,1,0,1,1,1,1
5500000,28,Binh Thanh,1,0,1,0,1,0,1,1,1,1
3700000,35,9,1,0,1,0,1,0,1,1,0,0
